State_Name,Year,Median_Rent_Price
AK,2018,1184.9857881935116
AK,2019,1199.2142500800753
AK,2020,1225.5710454870066
AK,2021,1386.8563580128443
AK,2022,1500.7864359816904
AK,2023,1591.3646083450371
AK,2024,1654.1139797776455
AL,2018,945.0096426643859
AL,2019,986.246136722556
AL,2020,1001.3573741824499
AL,2021,1108.413588528316
AL,2022,1172.4557440194808
AL,2023,1192.9259992544764
AL,2024,1233.934891569807
AR,2018,873.0838948155468
AR,2019,899.0960476164963
AR,2020,934.7369836027071
AR,2021,1027.8386390091157
AR,2022,1118.0450887085942
AR,2023,1122.388898904408
AR,2024,1141.0113675470784
AZ,2018,1118.7041389252586
AZ,2019,1185.6889273197785
AZ,2020,1262.2633986357282
AZ,2021,1371.1781663387337
AZ,2022,1514.9442844938544
AZ,2023,1561.6996214609412
AZ,2024,1595.242869503188
CA,2018,1736.6202969903807
CA,2019,1812.3009196723633
CA,2020,1873.8441837087587
CA,2021,2040.2218580218946
CA,2022,2142.4736769141505
CA,2023,2155.1218652284115
CA,2024,2210.3241813101213
CO,2018,1309.4442166751112
CO,2019,1374.9366535436357
CO,2020,1430.3876148568315
CO,2021,1573.9884727652457
CO,2022,1750.6061891426975
CO,2023,1892.8053215602997
CO,2024,2075.4646280163183
CT,2018,1247.8006757375704
CT,2019,1289.4462979837922
CT,2020,1363.799505225847
CT,2021,1505.2612597163911
CT,2022,1662.388203763796
CT,2023,1782.9695864577582
CT,2024,1910.0148179087696
DE,2018,1154.790808044882
DE,2019,1193.0033108190146
DE,2020,1249.3687740776436
DE,2021,1426.578420358501
DE,2022,1568.5611071396079
DE,2023,1648.3832731387142
DE,2024,1713.1415497479659
FL,2018,1253.7029374872855
FL,2019,1325.061827509521
FL,2020,1381.1691490495084
FL,2021,1592.5363479547314
FL,2022,1854.9063984858365
FL,2023,1881.3772273076831
FL,2024,1907.7084769560472
GA,2018,948.6152360666174
GA,2019,996.9107893059694
GA,2020,1045.1376339719732
GA,2021,1183.9922450461456
GA,2022,1349.4559667112871
GA,2023,1421.8128296740956
GA,2024,1443.834581556158
HI,2018,2036.9877664454061
HI,2019,2085.3137212416373
HI,2020,2126.358277071101
HI,2021,2273.7592062733984
HI,2022,2515.3678171528622
HI,2023,2654.2014555906158
HI,2024,2819.4255507026774
