State_Name,Household_Estimate,Year
Iowa,1337243,2023
Kansas,1188340,2023
Kentucky,1853603,2023
Louisiana,1833915,2023
Maine,616085,2023
Maryland,2384715,2023
Massachusetts,2800984,2023
Michigan,4107809,2023
Minnesota,2344432,2023
Mississippi,1166617,2023
Missouri,2556271,2023
Montana,472867,2023
Nebraska,813864,2023
Nevada,1224685,2023
New Hampshire,569493,2023
New Jersey,3538457,2023
New Mexico,856580,2023
New York,7809267,2023
North Carolina,4392669,2023
North Dakota,338059,2023
Ohio,4917309,2023
Oklahoma,1589105,2023
Oregon,1752050,2023
Pennsylvania,5324209,2023
Rhode Island,443980,2023
South Carolina,2177733,2023
South Dakota,378559,2023
Tennessee,2889226,2023
Texas,11260645,2023
Utah,1167591,2023
Vermont,279612,2023
Virginia,3402670,2023
Washington,3101265,2023
West Virginia,743644,2023
Wisconsin,2495539,2023
Wyoming,247368,2023
Alabama,2059528,2024
Alaska,274045,2024
Arizona,2982475,2024
Arkansas,1246754,2024
California,13797638,2024
Colorado,2479892,2024
Connecticut,1455235,2024
Delaware,412304,2024
Florida,9141675,2024
Georgia,4220732,2024
Hawaii,493151,2024
Idaho,751181,2024
Illinois,5105448,2024
Indiana,2775637,2024
Iowa,1343422,2024
Kansas,1204374,2024
Kentucky,1865456,2024
Louisiana,1848965,2024
Maine,615235,2024
Maryland,2401394,2024
Massachusetts,2829804,2024
Michigan,4131281,2024
Minnesota,2363442,2024
Mississippi,1176690,2024
Missouri,2563244,2024
Montana,468981,2024
Nebraska,824012,2024
Nevada,1238925,2024
New Hampshire,570689,2024
New Jersey,3543944,2024
New Mexico,856970,2024
New York,7828074,2024
North Carolina,4496359,2024
North Dakota,349705,2024
Ohio,4929322,2024
Oklahoma,1603748,2024
Oregon,1744270,2024
Pennsylvania,5361724,2024
Rhode Island,448318,2024
South Carolina,2222890,2024
South Dakota,382302,2024
Tennessee,2928765,2024
Texas,11449769,2024
Utah,1184428,2024
Vermont,285548,2024
Virginia,3449307,2024
Washington,3168080,2024
West Virginia,740840,2024
Wisconsin,2535198,2024
Wyoming,256289,2024
