State_Name,Year,Sales_Count
TN,2019,114799.0
TN,2020,121519.0
TN,2021,143381.0
TN,2022,124527.0
TN,2023,96533.0
TN,2024,94536.0
TX,2018,281125.0
TX,2019,276519.0
TX,2020,298318.0
TX,2021,334960.0
TX,2022,290241.0
TX,2023,203824.0
TX,2024,220574.0
UT,2018,42743.0
UT,2019,43986.0
UT,2020,49276.0
UT,2021,59492.0
UT,2022,44734.0
UT,2023,33088.0
UT,2024,35441.0
VA,2018,159783.0
VA,2019,164808.0
VA,2020,177662.0
VA,2021,214179.0
VA,2022,168593.0
VA,2023,129000.0
VA,2024,127967.0
VT,2018,2672.0
VT,2019,3124.0
VT,2020,3731.0
VT,2021,3679.0
VT,2022,3158.0
VT,2023,2736.0
VT,2024,2956.0
WA,2018,95398.0
WA,2019,90757.0
WA,2020,93379.0
WA,2021,108775.0
WA,2022,82551.0
WA,2023,59802.0
WA,2024,62996.0
WI,2018,52265.0
WI,2019,49834.0
WI,2020,51463.0
WI,2021,58044.0
WI,2022,49198.0
WI,2023,37796.0
WI,2024,37490.0
WV,2018,2081.0
WV,2019,2014.0
WV,2020,2577.0
WV,2021,2589.0
WV,2022,2102.0
WV,2023,2169.0
WV,2024,2252.0
