State_Name,Year,Population_Estimate
Alabama,2018,4891628
Alaska,2018,736624
Arizona,2018,7164228
Arkansas,2018,3012161
California,2018,39437463
Colorado,2018,5697155
Connecticut,2018,3574561
Delaware,2018,966985
Florida,2018,21254926
Georgia,2018,10519389
Hawaii,2018,1423102
Idaho,2018,1752074
Illinois,2018,12724685
Indiana,2018,6698481
Iowa,2018,3149900
Kansas,2018,2912748
Kentucky,2018,4464273
Louisiana,2018,4664450
Maine,2018,1340123
Maryland,2018,6042153
Massachusetts,2018,6885720
Michigan,2018,9987286
Minnesota,2018,5608762
Mississippi,2018,2982879
Missouri,2018,6125986
Montana,2018,1061818
Nebraska,2018,1925512
Nevada,2018,3030725
New Hampshire,2018,1355064
New Jersey,2018,8891730
New Mexico,2018,2093754
New York,2018,19544098
North Carolina,2018,10391358
North Dakota,2018,760062
Ohio,2018,11680892
Oklahoma,2018,3943488
Oregon,2018,4183538
Pennsylvania,2018,12809107
Rhode Island,2018,1059338
South Carolina,2018,5091702
South Dakota,2018,879386
Tennessee,2018,6778180
Texas,2018,28624564
Utah,2018,3155153
Vermont,2018,624802
Virginia,2018,8510920
Washington,2018,7526793
West Virginia,2018,1805953
Wisconsin,2018,5809319
Wyoming,2018,579054
Alabama,2019,4907965
Alaska,2019,733603
Arizona,2019,7291843
Arkansas,2019,3020985
California,2019,39437610
Colorado,2019,5758486
Connecticut,2019,3566022
Delaware,2019,976668
Florida,2019,21492056
Georgia,2019,10628020
Hawaii,2019,1415615
Idaho,2019,1789060
Illinois,2019,12667017
Indiana,2019,6731010
Iowa,2019,3159596
Kansas,2019,2912635
Kentucky,2019,4472345
Louisiana,2019,4658285
Maine,2019,1345770
Maryland,2019,6054954
Massachusetts,2019,6894883
Michigan,2019,9984795
Minnesota,2019,5640053
Mississippi,2019,2978227
Missouri,2019,6140475
Montana,2019,1070123
Nebraska,2019,1932571
Nevada,2019,3090771
New Hampshire,2019,1360783
New Jersey,2019,8891258
New Mexico,2019,2099634
New York,2019,19463131
North Carolina,2019,10501384
North Dakota,2019,763724
Ohio,2019,11696507
Oklahoma,2019,3960676
Oregon,2019,4216116
Pennsylvania,2019,12798883
Rhode Island,2019,1058158
South Carolina,2019,5157702
South Dakota,2019,887127
Tennessee,2019,6830325
Texas,2019,28986794
Utah,2019,3203383
Vermont,2019,624046
Virginia,2019,8556642
Washington,2019,7614024
West Virginia,2019,1795263
Wisconsin,2019,5824581
Wyoming,2019,580116
Alabama,2020,5032962
Alaska,2020,732906
Arizona,2020,7186647
Arkansas,2020,3014399
California,2020,39527808
Colorado,2020,5786873
Connecticut,2020,3579643
Delaware,2020,991890
Florida,2020,21591325
Georgia,2020,10732595
Hawaii,2020,1451130
Idaho,2020,1849328
Illinois,2020,12795348
Indiana,2020,6790290
Iowa,2020,3191081
Kansas,2020,2938274
Kentucky,2020,4508271
Louisiana,2020,4652145
Maine,2020,1364546
Maryland,2020,6178387
Massachusetts,2020,6985320
Michigan,2020,10072294
Minnesota,2020,5710562
Mississippi,2020,2958385
Missouri,2020,6155074
Montana,2020,1087156
Nebraska,2020,1963318
Nevada,2020,3116851
New Hampshire,2020,1378752
New Jersey,2020,9270476
New Mexico,2020,2118446
New York,2020,20122262
North Carolina,2020,10450215
North Dakota,2020,779612
Ohio,2020,11798534
Oklahoma,2020,3965243
Oregon,2020,4243544
Pennsylvania,2020,12995576
Rhode Island,2020,1096487
South Carolina,2020,5131992
South Dakota,2020,887808
Tennessee,2020,6927736
Texas,2020,29237895
Utah,2020,3283970
Vermont,2020,642965
Virginia,2020,8637303
Washington,2020,7726812
West Virginia,2020,1791670
Wisconsin,2020,5897371
Wyoming,2020,577669
Alabama,2021,5050058
Alaska,2021,734590
Arizona,2021,7274022
Arkansas,2021,3027127
California,2021,39152927
Colorado,2021,5814368
Connecticut,2021,3607765
Delaware,2021,1005130
Florida,2021,21836698
Georgia,2021,10793038
Hawaii,2021,1446909
Idaho,2021,1904855
Illinois,2021,12703354
Indiana,2021,6814223
Iowa,2021,3199037
Kansas,2021,2938966
Kentucky,2021,4508348
Louisiana,2021,4628595
Maine,2021,1379009
