Year,Average_CPI,CPI_Index
2018,251.0995,100.0
2019,255.65258333333335,101.81325862191417
2020,258.85575,103.08891495204091
2021,270.96791666666667,107.91256719613804
2022,292.6254166666667,116.53763415166765
2023,304.70416666666665,121.34797825828672
2024,313.69783333333334,124.92969254551814
