State_Name,State_Abbr,Year,Median_Home_Value,Median_Income,Price_To_Income,Mortgage_Rate_pct,Median_Rent_Price,Active_Listings,Average_CPI,CPI_Index,Population_Estimate,Home_Value_YoY_pct,Income_YoY_pct,Real_Home_Value,Real_Income,Monthly_Mortgage,Mortgage_Burden_pct,Rent_Burden_pct,Annual_Housing_Cost,Affordability_pct,Affordability_Gap_pct,Household_Estimate,Required_Income,Sales_Count
Alabama,AL,2018,138391.02185897512,61420.0,2.2531914988436195,4.539041666666667,945.009642664386,26620.33333333333,251.0995,100.0,4891628,,,138391.02185897512,61420.00000000001,563.5367840920597,11.010161851359031,18.46322974922278,9807.043890002169,15.967183148814993,-87.88536287458099,1855184,32690.146300007233,55471.0
Alabama,AL,2019,145333.04050675602,68110.0,2.133798862233975,3.93375,986.246136722556,23632.72904040404,255.65258333333333,101.81325862191416,4907965,5.01623483556255,10.892217518723534,142744.7097498898,66896.9846578902,550.642252263355,9.701522576949435,17.376234973822747,9805.033918308893,14.395880073864179,-108.39295580452357,1897576,32683.446394362978,56900.0
Alabama,AL,2020,156389.80985721905,65600.0,2.383991003921022,3.113666666666667,1001.35737418245,19071.36363636364,258.85575,103.08891495204092,5032962,7.607884147960853,-3.685215093231542,151703.8082416279,63634.38787819084,535.177255681142,9.78982784782577,18.317512942361887,9862.702885032522,15.034608056452015,-99.53962143446546,1888504,32875.676283441746,61574.0
Alabama,AL,2021,176436.48601223843,65360.0,2.6994566403341254,2.9557083333333334,1108.413588528316,14760.38181818182,270.96791666666667,107.91256719613804,5050058,12.81840304897206,-0.3658536585365857,163499.4798071607,60567.55176735254,591.7242700684792,10.863970686691784,20.35031068289442,10982.293933090996,16.802775295426862,-78.54193413016107,1967559,36607.64644363665,72371.0
Alabama,AL,2022,197708.55470966667,63870.0,3.095483868947341,5.3275,1172.4557440194808,14522.117676767675,292.6254166666667,116.53763415166765,5076868,12.056502131850856,-2.2796817625459043,169652.10950855524,54806.329701936906,881.0108726267052,16.552576282324193,22.02829016476244,14921.71867513313,23.362640794008346,-28.410141064591848,2016448,49739.06225044377,62426.0
Alabama,AL,2023,203023.5027954465,62230.0,3.2624699147589022,6.795375,1192.9259992544764,15465.944191919192,304.70416666666665,121.34797825828672,5117850,2.688274209269692,-2.5677156724596806,167306.8688159889,51282.271771800515,1058.3487548857092,20.40846064378678,23.00355454130438,17166.702120128335,27.585894456256366,-8.75123171217719,2051545,57222.34040042778,49318.0
Alabama,AL,2024,207991.39756920663,65560.0,3.172535045289912,6.7236666666666665,1233.934891569807,19023.45606060606,313.69783333333334,124.92969254551814,5163055,2.446955502863868,5.3511168246826335,166486.7601378471,52477.51648481262,1076.3116031442535,19.700639471828925,22.585751523547412,17491.549984253586,26.680216571466726,-12.442865370454403,2059528,58305.166614178626,49402.0
Alaska,AK,2018,292855.92568425764,84540.0,3.464110784057933,4.539041666666667,1184.9857881935116,2969.711111111111,251.0995,100.0,736624,,,292855.92568425764,84540.0,1192.5274078154134,16.927287548834823,16.820238299411095,20753.159258838627,24.548331273762276,-22.20789945125342,254551,69177.1975294621,5554.0
Alaska,AK,2019,306141.40061969863,95010.0,3.2222018800094583,3.93375,1199.214250080075,2840.244949494949,255.65258333333333,101.81325862191416,733603,4.536522491187256,12.384669978708306,300689.12906182645,93317.90504105343,1159.9178669935864,14.65005199865597,15.146375119419957,20654.125217556408,21.73889613467678,-38.001487353102206,252199,68847.08405852136,5462.0
Alaska,AK,2020,317136.6425021372,89650.0,3.5374974066049885,3.113666666666667,1225.5710454870066,2329.938888888889,258.85575,103.08891495204092,732906,3.59155666635802,-5.641511419850542,307634.08718549006,86963.76331219221,1085.2645588940889,14.526686789435658,16.40474349787404,20000.180841776088,22.309181083966635,-34.47378407610251,255173,66667.26947258697,5693.0
Alaska,AK,2021,334507.77072910726,93150.0,3.5910657083103303,2.9557083333333334,1386.8563580128443,1771.522222222222,270.96791666666667,107.91256719613804,734590,5.477490109599348,3.904071388733965,309980.3659763907,86319.88138202095,1121.8562041254067,14.452253837364337,17.866104451051132,20821.44540554524,22.352598395647064,-34.21258445658912,271311,69404.81801848413,6700.0
Alaska,AK,2022,356421.13481572975,95670.0,3.725526652197447,5.3275,1500.7864359816904,1433.678787878788,292.6254166666667,116.53763415166765,733659,6.55092826060788,2.70531400966183,305842.08904727397,82093.65214630193,1588.2514313441263,19.92162347248826,18.82453980535203,26900.28214207557,28.117782107322643,-6.69404822006631,274574,89667.60714025192,5643.0
Alaska,AK,2023,358097.6192928726,100700.0,3.556083607675001,6.795375,1591.3646083450371,1244.9166666666663,304.70416666666665,121.34797825828672,734654,0.4703661801676251,5.257656527647114,295099.7819927985,82984.48927238169,1866.7403738373912,22.24516830789344,18.96362989090412,30279.03211049189,30.06855224477844,0.22798651634565004,276852,100930.10703497297,4116.0
Alaska,AK,2024,363466.5262947292,91260.0,3.9827583420417403,6.7236666666666665,1654.1139797776457,1355.909090909091,313.69783333333334,124.92969254551814,736537,1.499285868601552,-9.37437934458788,290936.8612768339,73049.08716296521,1880.8625942108245,24.731921028413208,21.750348189055167,30566.614709013935,33.493989380905035,10.431690716713975,274045,101888.71569671312,4203.0
Arizona,AZ,2018,207533.99795310848,76600.0,2.709321122103244,4.539041666666667,1118.7041389252586,40007.677777777775,251.0995,100.0,7164228,,,207533.99795310848,76600.0,845.0912510454743,13.23902743152179,17.525391210317366,14706.842967514078,19.19953390014893,-56.25379322238284,2614298,49022.809891713594,136175.0
Arizona,AZ,2019,223521.7533547619,85650.0,2.609711072443221,3.93375,1185.6889273197785,37236.74242424242,255.65258333333333,101.81325862191416,7291843,7.703680148476577,11.814621409921667,219540.90889558403,84124.60337613121,846.886029962324,11.8653033970203,16.612104060522288,15080.11093335265,17.606667756395385,-70.38999324050343,2670441,50267.036444508834,138094.0
Arizona,AZ,2020,243981.9261643401,80470.0,3.0319613043909546,3.113666666666667,1262.2633986357282,29472.946969696968,258.85575,103.08891495204092,7186647,9.15354881683703,-6.047869235259773,236671.3494635631,78058.82915484783,834.9238214410631,12.45070940386822,18.82336371769447,15386.68823290824,19.12102427352832,-56.89536068176451,2643430,51288.9607763608,143575.0
Arizona,AZ,2021,296395.25116704806,81310.0,3.645249676141287,2.9557083333333334,1371.1781663387335,24539.855303030305,270.96791666666667,107.91256719613804,7274022,21.48246217525296,1.0438672797315807,274662.40389623074,75348.03601902441,994.0362541363447,14.670317365190181,20.236303032916986,18449.130575311196,22.689866652701017,-32.217612642640994,2817723,61497.101917703985,163760.0
Arizona,AZ,2022,350000.3548709504,78300.0,4.469991760803964,5.3275,1514.9442844938544,28409.02121212121,292.6254166666667,116.53763415166765,7370065,18.085682376095335,-3.701881687369324,300332.4697800568,67188.59582999312,1559.6397359604791,23.90252468904949,23.217536927108878,26415.68463868666,33.736506562818214,11.075558626263652,2850377,88052.28212895554,123150.0
Arizona,AZ,2023,347264.5734413164,84800.0,4.095101101902316,6.795375,1561.6996214609412,26095.328787878785,304.70416666666665,121.34797825828672,7452073,-0.781651044509013,8.301404853129002,286172.5250190578,69881.67517674247,1810.2683869454802,25.617005475643584,22.099522945202,29363.04125905472,34.626227899828685,13.360473203180096,2907014,97876.80419684907,89582.0
Arizona,AZ,2024,358126.17416564794,84700.0,4.228172068071404,6.7236666666666665,1595.242869503188,28480.89898989899,313.69783333333334,124.92969254551814,7556424,3.127759511053907,-0.1179245283018826,286662.1752352145,67798.1337136002,1853.2273985797467,26.255878138083776,22.600843487648472,30117.504614601214,35.55785668784087,15.630460341388899,2982475,100391.68204867071,88632.0
Arkansas,AR,2018,119356.4400755665,61230.0,1.9493130830567778,4.539041666666667,873.0838948155468,15452.30634920635,251.0995,100.0,3012161,,,119356.4400755665,61229.99999999999,486.02679203715434,9.525267849821741,17.110904356992588,8458.163186108315,13.813756632546653,-117.17481202265334,1156347,28193.877287027717,27865.0
Arkansas,AR,2019,123678.55852460404,66100.0,1.871082579797338,3.93375,899.0960476164963,14100.158838383835,255.65258333333333,101.81325862191416,3020985,3.6211857913164502,7.9536175077576265,121475.88653839985,64922.782056769094,468.59709110336325,8.507057629713099,16.32246985082898,8344.093380781647,12.623439305267242,-137.65314091130642,1163647,27813.64460260549,26739.0
Arkansas,AR,2020,131854.62868217228,60900.0,2.1651006351752424,3.113666666666667,934.7369836027073,10602.91212121212,258.85575,103.08891495204092,3014399,6.610741793163544,-7.866868381240543,127903.78940695393,59075.21679545462,451.2160887682261,8.890957414152236,18.418462731087825,8315.394896226502,13.65417881153777,-119.7129568469546,1170544,27717.982987421674,29127.0
Arkansas,AR,2021,147787.31852351618,58310.0,2.534510693251864,2.9557083333333334,1027.8386390091157,9103.714285714286,270.96791666666667,107.91256719613804,3027127,12.08352713938372,-4.252873563218396,136950.98019019712,54034.48506050071,495.6420588235903,10.200145268192562,21.15257017339974,9199.025713400439,15.776068793346662,-90.1614425810065,1183675,30663.41904466813,32644.0
Arkansas,AR,2022,162186.37187570293,57540.0,2.8186717392371032,5.3275,1118.0450887085942,9544.958008658008,292.6254166666667,116.53763415166765,3047429,9.743091285532412,-1.3205282112845107,139170.81212119496,49374.607970086894,722.720153532062,15.072370250929342,23.31689444647746,12240.74202365021,21.273448077250972,-41.020862678490154,1216207,40802.47341216737,28639.0
Arkansas,AR,2023,165087.06147006774,64880.0,2.544498481351229,6.795375,1122.388898904408,9630.242424242424,304.70416666666665,121.34797825828672,3069856,1.7884915735015383,12.756343413277715,136044.34440488432,53466.074121073725,860.5884715259942,15.917172716263764,20.759350781215932,13958.97701065342,21.515069375236468,-39.43715205738339,1232871,46529.923368844735,21643.0
Arkansas,AR,2024,169444.70733933264,64840.0,2.6132743266399237,6.7236666666666665,1141.0113675470784,10262.531962481962,313.69783333333334,124.92969254551814,3096080,2.6396047215698992,-0.06165228113440557,135632.05342684683,51901.192325735974,876.8406132759542,16.227771991535242,21.116805074899663,14249.870920776768,21.97697551014307,-36.50649965985559,1246754,47499.56973592256,21605.0
California,CA,2018,425566.1112883058,86690.0,4.9090565381048075,4.539041666666667,1736.620296990381,104652.07222222222,251.0995,100.0,39437463,,,425566.11128830584,86690.0,1732.9314759909928,23.987977519773807,24.039039755317305,30157.63216023464,34.787901903604386,13.763123504462643,13072122,100525.44053411546,390474.0
California,CA,2019,438592.64399305725,94660.0,4.633347179305486,3.93375,1812.3009196723635,105877.09090909093,255.65258333333333,101.81325862191416,39437610,3.060989199848785,9.19367862498559,430781.4619918816,92974.13841896766,1661.7531737612692,21.065960368830797,22.974446477993197,29590.07625298249,31.259324163302864,4.028635285663839,13157873,98633.58750994163,384226.0
California,CA,2020,457611.4779429415,93140.0,4.913157375380519,3.113666666666667,1873.8441837087587,82296.43181818182,258.85575,103.08891495204092,39527808,4.336332177560487,-1.6057468835833477,443899.79092886153,90349.19035022402,1565.979619498783,20.175816441899716,24.14229139414334,28859.20794873011,30.98476266773686,3.178215945356434,13103114,96197.35982910037,394992.0
California,CA,2021,528182.1772642082,93660.0,5.639357006878157,2.9557083333333334,2040.2218580218944,70556.61818181818,270.96791666666667,107.91256719613804,39152927,15.421531740964344,0.5582993343353992,489453.81523933454,86792.48620762299,1771.392189726362,22.69560781199695,26.139934119434905,32876.71417652893,35.1021932271289,14.53525480335413,13429063,109589.04725509643,473923.0
California,CA,2022,593903.6939549354,90930.0,6.531438402671675,5.3275,2142.4736769141505,72014.29393939395,292.6254166666667,116.53763415166765,39125347,12.442963719665956,-2.914798206278024,509623.94961785537,78026.29653667017,2646.499603599998,34.92576184229625,28.27414948088618,44823.87651020856,49.294926328173936,39.14180984817934,13550586,149412.9217006952,353688.0
California,CA,2023,580671.7716548912,92200.0,6.297958477818777,6.795375,2155.1218652284115,60728.44696969697,304.70416666666665,121.34797825828672,39181667,-2.2279575686640296,1.396678763884296,478517.8789043713,75979.84022754311,3027.005435658439,39.39703386974108,28.049308441150693,49098.84420430888,53.252542520942384,43.66466166718324,13699816,163662.81401436293,265683.0
California,CA,2024,601193.34498897,100600.0,5.976076987961928,6.7236666666666665,2210.3241813101213,69694.35606060606,313.69783333333334,124.92969254551814,39364774,3.5341089985471585,9.110629067245114,481225.3458239523,80525.29222654285,3111.048728490943,37.10992519074684,26.365695999723116,50558.83833164866,50.25729456426308,40.30717279928479,13797638,168529.46110549555,274902.0
